Target,TAS,Rank,CumProb,AUC,n_binding,p.value
RPS6KA3,1 (<100 nM),80,1,0.810126582278481,36,0.03293015631451196
RPS6KA3,2 (100-999 nM),1,0,0.7037974683544305,36,0.03293015631451196
RPS6KA3,2 (100-999 nM),14,0.2,0.7037974683544305,36,0.03293015631451196
RPS6KA3,2 (100-999 nM),15,0.4,0.7037974683544305,36,0.03293015631451196
RPS6KA3,2 (100-999 nM),29,0.6,0.7037974683544305,36,0.03293015631451196
RPS6KA3,2 (100-999 nM),63,0.8,0.7037974683544305,36,0.03293015631451196
RPS6KA3,2 (100-999 nM),68,1,0.7037974683544305,36,0.03293015631451196
RPS6KA3,2 (100-999 nM),80,1,0.7037974683544305,36,0.03293015631451196
RPS6KA3,3 (1-10 uM),1,0,0.47037974683544304,36,0.03293015631451196
RPS6KA3,3 (1-10 uM),5,0.04,0.47037974683544304,36,0.03293015631451196
RPS6KA3,3 (1-10 uM),7,0.08,0.47037974683544304,36,0.03293015631451196
RPS6KA3,3 (1-10 uM),10,0.12,0.47037974683544304,36,0.03293015631451196
RPS6KA3,3 (1-10 uM),12,0.16,0.47037974683544304,36,0.03293015631451196
RPS6KA3,3 (1-10 uM),13,0.2,0.47037974683544304,36,0.03293015631451196
RPS6KA3,3 (1-10 uM),20,0.24,0.47037974683544304,36,0.03293015631451196
RPS6KA3,3 (1-10 uM),24,0.28,0.47037974683544304,36,0.03293015631451196
RPS6KA3,3 (1-10 uM),33,0.32,0.47037974683544304,36,0.03293015631451196
RPS6KA3,3 (1-10 uM),37,0.36,0.47037974683544304,36,0.03293015631451196
RPS6KA3,3 (1-10 uM),45,0.4,0.47037974683544304,36,0.03293015631451196
RPS6KA3,3 (1-10 uM),47,0.44,0.47037974683544304,36,0.03293015631451196
RPS6KA3,3 (1-10 uM),49,0.48,0.47037974683544304,36,0.03293015631451196
RPS6KA3,3 (1-10 uM),53,0.52,0.47037974683544304,36,0.03293015631451196
RPS6KA3,3 (1-10 uM),54,0.56,0.47037974683544304,36,0.03293015631451196
RPS6KA3,3 (1-10 uM),55,0.6,0.47037974683544304,36,0.03293015631451196
RPS6KA3,3 (1-10 uM),56,0.64,0.47037974683544304,36,0.03293015631451196
RPS6KA3,3 (1-10 uM),57,0.68,0.47037974683544304,36,0.03293015631451196
